id	object_type	command
PAIL4P180161t_en	rxn	id:PAIL4P180161t_c_en
PAIL4P181161t_en	rxn	id:PAIL4P181161t_c_en
PAIL4P160181t_en	rxn	id:PAIL4P160181t_c_en
PAIL4P161181t_en	rxn	id:PAIL4P161181t_c_en
PAIL4P180181t_en	rxn	id:PAIL4P180181t_c_en
PAIL4P181t_en	rxn	id:PAIL4P181t_c_en
PAIL45P160161t_n	rxn	id:PAIL45P160161t_c_n
PAIL45P161t_n	rxn	id:PAIL45P161t_c_n
PAIL45P180161t_n	rxn	id:PAIL45P180161t_c_n
PAIL45P181161t_n	rxn	id:PAIL45P181161t_c_n
PAIL45P160181t_n	rxn	id:PAIL45P160181t_c_n
PAIL45P161181t_n	rxn	id:PAIL45P161181t_c_n
PAIL45P180181t_n	rxn	id:PAIL45P180181t_c_n
PAIL45P181t_n	rxn	id:PAIL45P181t_c_n
DAG160161t_n	rxn	id:DAG160161t_c_n
DAG161t_n	rxn	id:DAG161t_c_n
DAG180161t_n	rxn	id:DAG180161t_c_n
DAG181161t_n	rxn	id:DAG181161t_c_n
DAG160181t_n	rxn	id:DAG160181t_c_n
DAG161181t_n	rxn	id:DAG161181t_c_n
DAG180181t_n	rxn	id:DAG180181t_c_n
DAG181t_n	rxn	id:DAG181t_c_n
PAIL35P160161t_vm	rxn	id:PAIL35P160161t_c_vm
PAIL35P161t_vm	rxn	id:PAIL35P161t_c_vm
PAIL35P180161t_vm	rxn	id:PAIL35P180161t_c_vm
PAIL35P181161t_vm	rxn	id:PAIL35P181161t_c_vm
PAIL35P160181t_vm	rxn	id:PAIL35P160181t_c_vm
PAIL35P161181t_vm	rxn	id:PAIL35P161181t_c_vm
PAIL35P180181t_vm	rxn	id:PAIL35P180181t_c_vm
PAIL35P181t_vm	rxn	id:PAIL35P181t_c_vm
DAG160161t_mm	rxn	id:DAG160161t_c_mm
DAG161t_mm	rxn	id:DAG161t_c_mm
DAG180161t_mm	rxn	id:DAG180161t_c_mm
DAG181161t_mm	rxn	id:DAG181161t_c_mm
DAG160181t_mm	rxn	id:DAG160181t_c_mm
DAG161181t_mm	rxn	id:DAG161181t_c_mm
ERGSTESTt_rm	rxn	id:ERGSTESTt_c_rm
PSt_rm	rxn	id:PSt_c_rm
PCt_rm	rxn	id:PCt_c_rm
PEt_rm	rxn	id:PEt_c_rm
TAGt_rm	rxn	id:TAGt_c_rm
FACOAL100_x	rxn	lower_bound:0
FACOAL120_x	rxn	lower_bound:0
FACOAL160_x	rxn	lower_bound:0
FACOAL80_x	rxn	lower_bound:0
FACOAL140_x	rxn	lower_bound:0
FACOAL120_rm	rxn	lower_bound:0
FACOAL140_rm	rxn	lower_bound:0
FACOAL160_rm	rxn	lower_bound:0
FACOAL161_rm	rxn	lower_bound:0
FACOAL180_rm	rxn	lower_bound:0
FACOAL181_rm	rxn	lower_bound:0
FACOAL120_l	rxn	lower_bound:0
FACOAL140_l	rxn	lower_bound:0
FACOAL160_l	rxn	lower_bound:0
FACOAL161_l	rxn	lower_bound:0
FACOAL180_l	rxn	lower_bound:0
FACOAL181_l	rxn	lower_bound:0
FACOAL161_x	rxn	lower_bound:0
FACOAL180_x	rxn	lower_bound:0
FACOAL181_x	rxn	lower_bound:0
FACOAL200_en	rxn	lower_bound:0
FACOAL220_en	rxn	lower_bound:0
FACOAL240_en	rxn	lower_bound:0
FACOAL260_en	rxn	lower_bound:0
FACOAL220_rm	rxn	lower_bound:0
FACOAL240_rm	rxn	lower_bound:0
FACOAL260_rm	rxn	lower_bound:0
FACOAL220_l	rxn	lower_bound:0
FACOAL240_l	rxn	lower_bound:0
FACOAL260_l	rxn	lower_bound:0
